iter	Passed	Remaining
0	1	135
1	2	126
2	3	121
3	4	115
4	6	118
5	7	115
6	8	113
7	9	112
8	10	110
9	12	108
10	13	108
11	14	107
12	15	105
13	16	104
14	18	103
15	19	101
16	20	100
17	21	99
18	23	98
19	24	96
20	25	95
21	26	95
22	28	94
23	29	94
24	31	93
25	32	92
26	33	91
27	35	91
28	36	90
29	38	89
30	39	88
31	41	88
32	42	86
33	44	85
34	45	84
35	46	83
36	48	82
37	49	81
38	51	80
39	53	79
40	54	78
41	54	75
42	56	75
43	57	73
44	59	72
45	60	71
46	61	69
47	63	68
48	64	67
49	67	67
50	68	65
51	70	65
52	72	63
53	73	62
54	75	61
55	76	60
56	78	59
57	80	57
58	81	56
59	83	55
60	85	54
61	86	53
62	88	51
63	89	50
64	91	49
65	92	47
66	94	46
67	96	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	112	28
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	119	19
86	120	18
87	121	16
88	123	15
89	124	13
90	125	12
91	127	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	134	2
98	135	1
99	137	0
