iter	Passed	Remaining
0	147	147406
1	149	74446
2	150	50064
3	152	37850
4	153	30489
5	154	25584
6	155	22073
7	156	19448
8	158	17405
9	159	15779
10	160	14443
11	161	13325
12	163	12380
13	164	11573
14	165	10868
15	166	10248
16	167	9703
17	168	9219
18	170	8784
19	171	8395
20	172	8045
21	173	7725
22	175	7440
23	176	7170
24	177	6921
25	178	6691
26	179	6480
27	180	6281
28	182	6096
29	183	5925
30	184	5763
31	185	5612
32	186	5474
33	188	5344
34	189	5220
35	190	5105
36	191	4992
37	192	4883
38	194	4781
39	195	4686
40	196	4593
41	197	4506
42	198	4423
43	200	4347
44	201	4273
45	202	4203
46	203	4134
47	205	4079
48	207	4019
49	208	3958
50	209	3899
51	210	3841
52	211	3786
53	213	3732
54	214	3685
55	215	3636
56	217	3590
57	218	3548
58	219	3504
59	221	3465
60	222	3422
61	223	3382
62	224	3344
63	226	3308
64	227	3271
65	229	3241
66	230	3206
67	231	3173
68	232	3140
69	233	3107
70	235	3077
71	236	3046
72	237	3017
73	238	2987
74	239	2958
75	241	2930
76	242	2903
77	243	2877
78	244	2851
79	245	2824
80	246	2800
81	248	2778
82	248	2749
83	250	2726
84	251	2704
85	252	2682
86	253	2660
87	254	2639
88	255	2618
89	257	2602
90	258	2585
91	260	2568
92	261	2551
93	263	2537
94	266	2540
95	268	2525
96	269	2509
97	271	2503
98	273	2488
99	276	2484
100	277	2469
101	279	2460
102	283	2470
103	285	2457
104	286	2443
105	287	2428
106	289	2414
107	290	2398
108	291	2383
109	292	2369
110	294	2355
111	295	2342
112	296	2327
113	297	2313
114	299	2301
115	300	2287
116	301	2273
117	302	2261
118	303	2249
119	305	2237
120	306	2227
121	307	2214
122	309	2204
123	311	2197
124	312	2187
125	314	2182
126	315	2172
127	317	2161
128	318	2151
129	320	2141
130	321	2132
131	322	2122
132	324	2114
133	326	2106
134	329	2110
135	330	2101
136	332	2092
137	333	2083
138	334	2073
139	335	2063
140	337	2055
141	338	2045
142	340	2037
143	341	2030
144	342	2022
145	344	2012
146	345	2003
147	346	1995
148	347	1986
149	349	1977
150	350	1969
151	351	1961
152	352	1952
153	354	1946
154	355	1938
155	356	1931
156	358	1923
157	359	1914
158	360	1907
159	361	1899
160	362	1889
161	363	1882
162	365	1874
163	366	1867
164	367	1861
165	369	1855
166	370	1849
167	371	1842
168	373	1835
169	374	1828
170	375	1822
171	377	1815
172	378	1808
173	380	1804
174	381	1800
175	384	1799
176	385	1794
177	387	1788
178	388	1782
179	390	1777
180	391	1772
181	393	1768
182	394	1762
183	396	1759
184	398	1753
185	399	1747
186	400	1742
187	402	1736
188	403	1730
189	404	1724
190	405	1718
191	407	1713
192	408	1707
193	409	1702
194	411	1697
195	413	1697
196	415	1693
197	416	1687
198	418	1682
199	419	1677
200	420	1672
201	422	1667
202	423	1663
203	425	1658
204	426	1654
205	428	1651
206	432	1658
207	434	1654
208	435	1650
209	437	1646
210	438	1641
211	440	1636
212	442	1633
213	444	1631
214	446	1628
215	447	1625
216	449	1620
217	450	1617
218	452	1613
219	453	1609
220	455	1604
221	456	1600
222	458	1596
223	459	1592
224	460	1587
225	461	1582
226	463	1578
227	464	1573
228	466	1569
229	467	1565
230	468	1560
231	470	1555
232	471	1551
233	473	1548
234	474	1544
235	475	1540
236	477	1536
237	478	1532
238	479	1527
239	481	1523
240	482	1518
241	483	1514
242	484	1509
243	485	1505
244	487	1501
245	488	1497
246	489	1492
247	491	1488
248	492	1484
249	493	1480
250	494	1476
251	495	1471
252	496	1467
253	498	1463
254	499	1459
255	500	1454
256	502	1451
257	503	1447
258	504	1443
259	506	1440
260	507	1436
261	508	1432
262	509	1428
263	511	1425
264	512	1421
265	513	1417
266	515	1414
267	516	1410
268	518	1407
269	519	1405
270	521	1401
271	522	1398
272	523	1394
273	524	1390
274	526	1387
275	527	1383
276	528	1379
277	530	1376
278	532	1376
279	534	1373
280	535	1371
281	537	1368
282	540	1368
283	543	1371
284	545	1367
285	546	1364
286	548	1362
287	549	1359
288	551	1355
289	552	1352
290	553	1349
291	555	1346
292	556	1342
293	557	1339
294	558	1335
295	560	1333
296	562	1330
297	563	1327
298	564	1323
299	565	1320
300	567	1316
301	568	1313
302	569	1310
303	570	1306
304	571	1303
305	573	1299
306	574	1296
307	575	1293
308	577	1290
309	578	1287
310	579	1284
311	580	1281
312	582	1277
313	583	1274
314	584	1271
315	585	1267
316	586	1264
317	588	1261
318	589	1258
319	590	1255
320	592	1252
321	593	1250
322	594	1246
323	596	1243
324	597	1240
325	598	1237
326	599	1234
327	601	1231
328	602	1228
329	604	1226
330	605	1223
331	606	1220
332	607	1217
333	609	1214
334	610	1211
335	611	1208
336	612	1205
337	613	1202
338	615	1199
339	616	1196
340	617	1194
341	619	1191
342	620	1188
343	621	1185
344	623	1182
345	624	1180
346	625	1177
347	626	1174
348	627	1171
349	629	1168
350	630	1165
351	631	1162
352	632	1160
353	634	1157
354	635	1154
355	636	1151
356	638	1149
357	639	1146
358	640	1143
359	641	1140
360	643	1138
361	644	1135
362	645	1132
363	646	1130
364	648	1127
365	649	1124
366	650	1122
367	653	1122
368	655	1120
369	656	1118
370	658	1115
371	659	1114
372	661	1111
373	662	1109
374	664	1106
375	665	1104
376	666	1101
